Wavelength_01 quinine_0.1mM_PL Wavelength_02 quinine_0.1mM_Abs
4.79752e+02 5.58360e+02 4.79752e+02 -7.77778e-03
4.80529e+02 5.54000e+02 4.80529e+02 -1.00000e-02
4.81306e+02 5.49404e+02 4.81306e+02 -7.77778e-03
4.82083e+02 5.44630e+02 4.82083e+02 -8.88889e-03
4.82860e+02 5.40216e+02 4.82860e+02 -7.77778e-03
4.83637e+02 5.35442e+02 4.83637e+02 -6.66667e-03
4.84413e+02 5.29976e+02 4.84413e+02 -4.44444e-03
4.85190e+02 5.24534e+02 4.85190e+02 -8.88889e-03
4.85966e+02 5.19248e+02 4.85966e+02 -7.77778e-03
4.86743e+02 5.14199e+02 4.86743e+02 -7.77778e-03
4.87519e+02 5.08843e+02 4.87519e+02 -1.00000e-02
4.88295e+02 5.03194e+02 4.88295e+02 -1.00000e-02
4.89072e+02 4.97633e+02 4.89072e+02 -1.00000e-02
4.89848e+02 4.92559e+02 4.89848e+02 -1.00000e-02
4.90624e+02 4.86900e+02 4.90624e+02 -1.00000e-02
4.91400e+02 4.81390e+02 4.91400e+02 -1.00000e-02
4.92176e+02 4.75478e+02 4.92176e+02 -1.00000e-02
4.92952e+02 4.69900e+02 4.92952e+02 -1.00000e-02
4.93727e+02 4.64513e+02 4.93727e+02 -1.00000e-02
4.94503e+02 4.58561e+02 4.94503e+02 -1.00000e-02
4.95279e+02 4.52508e+02 4.95279e+02 -1.00000e-02
4.96054e+02 4.46447e+02 4.96054e+02 -1.00000e-02
4.96830e+02 4.40387e+02 4.96830e+02 -1.00000e-02
4.97605e+02 4.34247e+02 4.97605e+02 -8.88889e-03
4.98380e+02 4.28100e+02 4.98380e+02 -1.00000e-02
4.99156e+02 4.21847e+02 4.99156e+02 -7.77778e-03
4.99931e+02 4.16089e+02 4.99931e+02 -8.88889e-03
5.00706e+02 4.10240e+02 5.00706e+02 -8.88889e-03
5.01481e+02 4.04812e+02 5.01481e+02 -8.88889e-03
5.02256e+02 3.99126e+02 5.02256e+02 -1.00000e-02
5.03031e+02 3.93411e+02 5.03031e+02 -1.00000e-02
5.03805e+02 3.87813e+02 5.03805e+02 -1.00000e-02
5.04580e+02 3.82063e+02 5.04580e+02 -1.00000e-02
5.05355e+02 3.76549e+02 5.05355e+02 -1.00000e-02
5.06129e+02 3.70660e+02 5.06129e+02 -1.00000e-02
5.06904e+02 3.65323e+02 5.06904e+02 -1.00000e-02
5.07678e+02 3.60146e+02 5.07678e+02 -1.00000e-02
5.08452e+02 3.55236e+02 5.08452e+02 -1.00000e-02
5.09227e+02 3.49948e+02 5.09227e+02 -1.00000e-02
5.10001e+02 3.44821e+02 5.10001e+02 -1.00000e-02
5.10775e+02 3.39830e+02 5.10775e+02 -1.00000e-02
5.11549e+02 3.34987e+02 5.11549e+02 -1.00000e-02
5.12323e+02 3.30001e+02 5.12323e+02 -1.00000e-02
5.13097e+02 3.25093e+02 5.13097e+02 -1.00000e-02
5.13871e+02 3.20196e+02 5.13871e+02 -1.00000e-02
5.14644e+02 3.15224e+02 5.14644e+02 -7.77778e-03
5.15418e+02 3.10604e+02 5.15418e+02 -5.55556e-03
5.16192e+02 3.05787e+02 5.16192e+02 -6.66667e-03
5.16965e+02 3.01080e+02 5.16965e+02 -6.66667e-03
5.17738e+02 2.96354e+02 5.17738e+02 -6.66667e-03
5.18512e+02 2.91260e+02 5.18512e+02 -5.55556e-03
5.19285e+02 2.86183e+02 5.19285e+02 -8.88889e-03
5.20058e+02 2.81248e+02 5.20058e+02 -8.88889e-03
5.20831e+02 2.76471e+02 5.20831e+02 -8.88889e-03
5.21604e+02 2.71632e+02 5.21604e+02 -7.77778e-03
5.22377e+02 2.66969e+02 5.22377e+02 -8.88889e-03
5.23150e+02 2.62236e+02 5.23150e+02 -8.88889e-03
5.23923e+02 2.57836e+02 5.23923e+02 -8.88889e-03
5.24696e+02 2.53682e+02 5.24696e+02 -8.88889e-03
5.25468e+02 2.49641e+02 5.25468e+02 -7.77778e-03
5.26241e+02 2.45437e+02 5.26241e+02 -1.00000e-02
5.27013e+02 2.41092e+02 5.27013e+02 -1.00000e-02
5.27786e+02 2.37157e+02 5.27786e+02 -1.00000e-02
5.28558e+02 2.33044e+02 5.28558e+02 -1.00000e-02
5.29330e+02 2.28842e+02 5.29330e+02 -1.00000e-02
5.30102e+02 2.24473e+02 5.30102e+02 -1.00000e-02
5.30875e+02 2.20431e+02 5.30875e+02 -1.00000e-02
5.31647e+02 2.16350e+02 5.31647e+02 -1.00000e-02
