Wavelength_01 CsPbBr3_PL Wavelength_02 CsPbBr3_Abs Wavelength_03 CsPbI3_PL Wavelength_04 CsPbI3_Abs
2.92735e+02 4.44444e-03 2.92735e+02 1.54556e+00 2.92735e+02 -4.58889e-01 2.92735e+02 2.16667e+00
2.93529e+02 2.44444e-01 2.93529e+02 1.52778e+00 2.93529e+02 -1.94444e-01 2.93529e+02 2.19444e+00
2.94323e+02 2.24444e-01 2.94323e+02 1.50667e+00 2.94323e+02 -2.54444e-01 2.94323e+02 2.22000e+00
2.95117e+02 3.56667e-01 2.95117e+02 1.48444e+00 2.95117e+02 -2.01111e-01 2.95117e+02 2.24333e+00
2.95911e+02 5.46667e-01 2.95911e+02 1.45667e+00 2.95911e+02 1.22222e-02 2.95911e+02 2.26444e+00
2.96705e+02 1.94444e-01 2.96705e+02 1.42778e+00 2.96705e+02 -3.25556e-01 2.96705e+02 2.27889e+00
2.97499e+02 7.11111e-02 2.97499e+02 1.39778e+00 2.97499e+02 -4.05556e-01 2.97499e+02 2.29000e+00
2.98293e+02 2.16667e-01 2.98293e+02 1.36667e+00 2.98293e+02 -4.48889e-01 2.98293e+02 2.29778e+00
2.99086e+02 6.11111e-02 2.99086e+02 1.33667e+00 2.99086e+02 -6.02222e-01 2.99086e+02 2.30444e+00
2.99880e+02 -1.33333e-02 2.99880e+02 1.30667e+00 2.99880e+02 -7.02222e-01 2.99880e+02 2.30778e+00
3.00673e+02 1.80000e-01 3.00673e+02 1.27667e+00 3.00673e+02 -5.71111e-01 3.00673e+02 2.31000e+00
3.01467e+02 2.15556e-01 3.01467e+02 1.24667e+00 3.01467e+02 -4.47778e-01 3.01467e+02 2.30889e+00
3.02260e+02 5.61111e-01 3.02260e+02 1.21889e+00 3.02260e+02 -2.00000e-01 3.02260e+02 2.31444e+00
3.03054e+02 4.35556e-01 3.03054e+02 1.19222e+00 3.03054e+02 -2.88889e-01 3.03054e+02 2.31889e+00
3.03847e+02 5.02222e-01 3.03847e+02 1.16889e+00 3.03847e+02 -2.17778e-01 3.03847e+02 2.32556e+00
3.04640e+02 2.68889e-01 3.04640e+02 1.14667e+00 3.04640e+02 -4.23333e-01 3.04640e+02 2.33556e+00
3.05433e+02 1.97778e-01 3.05433e+02 1.12444e+00 3.05433e+02 -4.06667e-01 3.05433e+02 2.34444e+00
3.06227e+02 1.85556e-01 3.06227e+02 1.10444e+00 3.06227e+02 -3.45556e-01 3.06227e+02 2.35111e+00
3.07020e+02 2.87778e-01 3.07020e+02 1.08444e+00 3.07020e+02 -3.72222e-01 3.07020e+02 2.35778e+00
3.07813e+02 2.33333e-01 3.07813e+02 1.06667e+00 3.07813e+02 -4.37778e-01 3.07813e+02 2.35889e+00
3.08605e+02 4.37778e-01 3.08605e+02 1.04778e+00 3.08605e+02 -2.65556e-01 3.08605e+02 2.36000e+00
3.09398e+02 4.52222e-01 3.09398e+02 1.02889e+00 3.09398e+02 -1.92222e-01 3.09398e+02 2.36111e+00
3.10191e+02 5.68889e-01 3.10191e+02 1.01556e+00 3.10191e+02 -1.23333e-01 3.10191e+02 2.36444e+00
