x_CsPbBr_dilute_00 CsPbBr_dilute_00_mean x_CsPbBr_dilute_02 CsPbBr_dilute_02_mean x_CsPbBr_dilute_04 CsPbBr_dilute_04_mean x_CsPbBr_dilute_08 CsPbBr_dilute_08_mean x_CsPbBr_dilute_16 CsPbBr_dilute_16_mean
2.97499e+02 -5.03333e-01 2.97499e+02 -3.21111e-01 2.97499e+02 -4.77778e-02 2.97499e+02 -1.44444e-02 2.97499e+02 -6.33333e-02
2.98293e+02 -3.75556e-01 2.98293e+02 -2.22222e-01 2.98293e+02 5.66667e-02 2.98293e+02 3.33333e-02 2.98293e+02 3.55556e-02
2.99086e+02 -1.68889e-01 2.99086e+02 4.44444e-02 2.99086e+02 2.38889e-01 2.99086e+02 2.76667e-01 2.99086e+02 2.77778e-01
2.99880e+02 -1.33333e-01 2.99880e+02 1.20000e-01 2.99880e+02 2.21111e-01 2.99880e+02 3.15556e-01 2.99880e+02 3.17778e-01
3.00673e+02 -1.60000e-01 3.00673e+02 6.22222e-02 3.00673e+02 2.44444e-02 3.00673e+02 1.93333e-01 3.00673e+02 2.92222e-01
3.01467e+02 -2.40000e-01 3.01467e+02 -8.88889e-03 3.01467e+02 -2.88889e-02 3.01467e+02 5.55556e-02 3.01467e+02 1.28889e-01
3.02260e+02 -2.60000e-01 3.02260e+02 -1.54444e-01 3.02260e+02 -9.66667e-02 3.02260e+02 -3.33333e-03 3.02260e+02 7.77778e-03
3.03054e+02 -1.60000e-01 3.03054e+02 8.66667e-02 3.03054e+02 8.44444e-02 3.03054e+02 2.06667e-01 3.03054e+02 1.58889e-01
3.03847e+02 -3.41111e-01 3.03847e+02 -5.77778e-02 3.03847e+02 -9.88889e-02 3.03847e+02 5.22222e-02 3.03847e+02 -3.66667e-02
3.04640e+02 -4.01111e-01 3.04640e+02 -1.23333e-01 3.04640e+02 -1.02222e-01 3.04640e+02 -1.77778e-02 3.04640e+02 -1.30000e-01
3.05433e+02 -6.53333e-01 3.05433e+02 -3.31111e-01 3.05433e+02 -2.83333e-01 3.05433e+02 -2.84444e-01 3.05433e+02 -3.14444e-01
3.06227e+02 -5.83333e-01 3.06227e+02 -2.34444e-01 3.06227e+02 -1.13333e-01 3.06227e+02 -1.53333e-01 3.06227e+02 -2.15556e-01
3.07020e+02 -5.77778e-01 3.07020e+02 -3.58889e-01 3.07020e+02 -2.45556e-01 3.07020e+02 -2.18889e-01 3.07020e+02 -2.06667e-01
3.07813e+02 -4.58889e-01 3.07813e+02 -2.18889e-01 3.07813e+02 -2.01111e-01 3.07813e+02 -1.31111e-01 3.07813e+02 -1.25556e-01
3.08605e+02 -6.21111e-01 3.08605e+02 -5.17778e-01 3.08605e+02 -4.32222e-01 3.08605e+02 -3.65556e-01 3.08605e+02 -3.72222e-01
3.09398e+02 -5.07778e-01 3.09398e+02 -4.23333e-01 3.09398e+02 -3.68889e-01 3.09398e+02 -3.32222e-01 3.09398e+02 -3.18889e-01
3.10191e+02 -5.13333e-01 3.10191e+02 -4.38889e-01 3.10191e+02 -3.64444e-01 3.10191e+02 -2.98889e-01 3.10191e+02 -3.30000e-01
3.10984e+02 -1.92222e-01 3.10984e+02 -2.54444e-01 3.10984e+02 -1.51111e-01 3.10984e+02 1.33333e-02 3.10984e+02 -1.46667e-01
