Wavelength Abs_008
7.27422e+02 -0.00000e+00
7.28173e+02 -0.00000e+00
7.28924e+02 0.00000e+00
7.29675e+02 0.00000e+00
7.30426e+02 0.00000e+00
7.31177e+02 0.00000e+00
7.31928e+02 0.00000e+00
7.32679e+02 0.00000e+00
7.33429e+02 0.00000e+00
7.34180e+02 0.00000e+00
7.34930e+02 0.00000e+00
7.35681e+02 0.00000e+00
7.36431e+02 0.00000e+00
7.37181e+02 0.00000e+00
7.37931e+02 0.00000e+00
7.38681e+02 0.00000e+00
7.39431e+02 0.00000e+00
7.40181e+02 0.00000e+00
7.40931e+02 0.00000e+00
7.41680e+02 0.00000e+00
7.42430e+02 0.00000e+00
7.43180e+02 0.00000e+00
7.43929e+02 0.00000e+00
7.44678e+02 0.00000e+00
7.45428e+02 0.00000e+00
7.46177e+02 0.00000e+00
7.46926e+02 0.00000e+00
7.47675e+02 0.00000e+00
7.48424e+02 0.00000e+00
7.49173e+02 0.00000e+00
7.49922e+02 0.00000e+00
7.50670e+02 0.00000e+00
7.51419e+02 0.00000e+00
7.52167e+02 0.00000e+00
7.52916e+02 0.00000e+00
7.53664e+02 0.00000e+00
7.54412e+02 0.00000e+00
7.55161e+02 0.00000e+00
7.55909e+02 0.00000e+00
7.56657e+02 0.00000e+00
7.57405e+02 0.00000e+00
7.58152e+02 0.00000e+00
7.58900e+02 0.00000e+00
7.59648e+02 0.00000e+00
7.60395e+02 0.00000e+00
7.61143e+02 0.00000e+00
7.61890e+02 0.00000e+00
7.62638e+02 0.00000e+00
7.63385e+02 0.00000e+00
7.64132e+02 0.00000e+00
7.64879e+02 0.00000e+00
7.65626e+02 0.00000e+00
7.66373e+02 1.00000e-02
7.67120e+02 1.00000e-02
7.67866e+02 1.00000e-02
7.68613e+02 1.00000e-02
7.69359e+02 1.00000e-02
7.70106e+02 1.00000e-02
7.70852e+02 1.00000e-02
7.71599e+02 0.00000e+00
7.72345e+02 0.00000e+00
7.73091e+02 0.00000e+00
7.73837e+02 0.00000e+00
7.74583e+02 0.00000e+00
7.75329e+02 0.00000e+00
7.76075e+02 0.00000e+00
7.76820e+02 0.00000e+00
7.77566e+02 0.00000e+00
7.78311e+02 0.00000e+00
7.79057e+02 0.00000e+00
7.79802e+02 0.00000e+00
7.80547e+02 0.00000e+00
7.81293e+02 0.00000e+00
7.82038e+02 1.00000e-02
7.82783e+02 1.00000e-02
7.83528e+02 1.00000e-02
7.84272e+02 1.00000e-02
7.85017e+02 0.00000e+00
7.85762e+02 0.00000e+00
7.86506e+02 0.00000e+00
7.87251e+02 0.00000e+00
7.87995e+02 0.00000e+00
7.88740e+02 0.00000e+00
7.89484e+02 0.00000e+00
7.90228e+02 0.00000e+00
7.90972e+02 0.00000e+00
7.91716e+02 0.00000e+00
7.92460e+02 0.00000e+00
7.93204e+02 0.00000e+00
7.93947e+02 0.00000e+00
7.94691e+02 0.00000e+00
7.95434e+02 0.00000e+00
7.96178e+02 0.00000e+00
7.96921e+02 0.00000e+00
7.97664e+02 0.00000e+00
7.98408e+02 0.00000e+00
7.99151e+02 0.00000e+00
7.99894e+02 0.00000e+00
8.00637e+02 -0.00000e+00
8.01380e+02 -0.00000e+00
8.02122e+02 -0.00000e+00
