CsPb(OA)3 TOABr ZnCl2 OAm_Tol Peak_nm FWHM_nm PLQY OAm_frac Total R_time_sec Cl_Pb OA_frac total_rate_round R_time_round OAm_frac_round Cl_Pb_round
2.11800003e+01 6.35299988e+01 9.53000031e+01 0.00000000e+00 4.47350006e+02 1.90799999e+01 6.03999972e-01 2.99999993e-02 1.80009995e+02 1.62139999e+02 4.50000000e+00 7.99999982e-02 1.80000000e+02 1.62000000e+02 3.00000000e-02 4.50000000e+00
2.53099995e+01 7.59300003e+01 7.59300003e+01 2.82999992e+00 4.62070007e+02 2.10100002e+01 5.82000017e-01 2.99999993e-02 1.80000000e+02 1.62149994e+02 3.00000000e+00 9.00000036e-02 1.80000000e+02 1.62000000e+02 3.00000000e-02 3.00000000e+00
3.14300003e+01 9.42900009e+01 4.71500015e+01 7.13999987e+00 4.78660004e+02 2.20599995e+01 6.86999977e-01 2.99999993e-02 1.80009995e+02 1.62139999e+02 1.50000000e+00 1.19999997e-01 1.80000000e+02 1.62000000e+02 3.00000000e-02 1.50000000e+00
3.57500000e+01 1.07300003e+02 2.68099995e+01 1.01899996e+01 4.97570007e+02 2.17000008e+01 7.50000000e-01 2.99999993e-02 1.80050003e+02 1.62100006e+02 7.50000000e-01 1.29999995e-01 1.80000000e+02 1.62000000e+02 3.00000000e-02 7.50000000e-01
3.89599991e+01 1.16900002e+02 1.16899996e+01 1.24700003e+01 5.07829987e+02 2.16499996e+01 7.44000018e-01 2.99999993e-02 1.80020004e+02 1.62130005e+02 3.00000012e-01 1.40000001e-01 1.80000000e+02 1.62000000e+02 3.00000000e-02 3.00000000e-01
2.11800003e+01 6.35299988e+01 9.53000031e+01 0.00000000e+00 4.48450012e+02 1.88999996e+01 4.70999986e-01 2.99999993e-02 1.80009995e+02 1.62139999e+02 4.50000000e+00 7.99999982e-02 1.80000000e+02 1.62000000e+02 3.00000000e-02 4.50000000e+00
2.53099995e+01 7.59300003e+01 7.59300003e+01 2.82999992e+00 4.60049988e+02 2.05499992e+01 6.95999980e-01 2.99999993e-02 1.80000000e+02 1.62149994e+02 3.00000000e+00 9.00000036e-02 1.80000000e+02 1.62000000e+02 3.00000000e-02 3.00000000e+00
3.14300003e+01 9.42900009e+01 4.71500015e+01 7.13999987e+00 4.81269989e+02 2.13500004e+01 7.63000011e-01 2.99999993e-02 1.80009995e+02 1.62139999e+02 1.50000000e+00 1.19999997e-01 1.80000000e+02 1.62000000e+02 3.00000000e-02 1.50000000e+00
3.57500000e+01 1.07300003e+02 2.68099995e+01 1.01899996e+01 4.95559998e+02 2.14799995e+01 5.86000025e-01 2.99999993e-02 1.80050003e+02 1.62100006e+02 7.50000000e-01 1.29999995e-01 1.80000000e+02 1.62000000e+02 3.00000000e-02 7.50000000e-01
3.89599991e+01 1.16900002e+02 1.16899996e+01 1.24700003e+01 5.08029999e+02 2.11399994e+01 5.27999997e-01 2.99999993e-02 1.80020004e+02 1.62130005e+02 3.00000012e-01 1.40000001e-01 1.80000000e+02 1.62000000e+02 3.00000000e-02 3.00000000e-01
